CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Bhoke B.O,415639,BO,Delivery,RATNAGIRI,MAHARASHTRA,17.0417436,73.3984261
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Ambolgad B.O,415806,BO,Delivery,RATNAGIRI,MAHARASHTRA,16.656048,73.517768
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Gothane Doniwade B.O,416705,BO,Delivery,RATNAGIRI,MAHARASHTRA,16.70555,73.596
Maharashtra Circle,Nagpur Region,Amaravati Division,Katsur B.O,444915,BO,Delivery,AMRAVATI,MAHARASHTRA,21.16,77.83
Maharashtra Circle,Nagpur Region,Amaravati Division,Kekatpur B.O,444901,BO,Delivery,AMRAVATI,MAHARASHTRA,21.1,77.93
Kerala Circle,DivReportingCircle,Tiruvalla Division,Chumathra BO,689103,BO,Delivery,PATHANAMTHITTA,KERALA,9.457859,76.621872
Kerala Circle,DivReportingCircle,Tiruvalla Division,Karakkal BO,689108,BO,Delivery,PATHANAMTHITTA,KERALA,9.389862,76.547493
Madhya Pradesh Circle,DivReportingCircle,Guna Division,Dharnawda B.O,473110,BO,Delivery,GUNA,MADHYA PRADESH,24.58,77.09
Kerala Circle,Kochi Region,Alleppey Division,Chungom BO,688011,BO,Non Delivery,ALAPPUZHA,KERALA,11.292189,75.764685
Maharashtra Circle,Nagpur Region,Amaravati Division,Dapori Khurd B.O,444707,BO,Delivery,AMRAVATI,MAHARASHTRA,21.18,78.08
Maharashtra Circle,Nagpur Region,Amaravati Division,Dhanodi B.O,444710,BO,Delivery,AMRAVATI,MAHARASHTRA,21.48,78.32
Maharashtra Circle,Nagpur Region,Amaravati Division,Kawadgavan B.O,444903,BO,Delivery,AMRAVATI,MAHARASHTRA,21,78.07
Maharashtra Circle,Nagpur Region,Amaravati Division,Alangaon B.O,444801,BO,Delivery,AMRAVATI,MAHARASHTRA,20.94,77.64
Madhya Pradesh Circle,DivReportingCircle,Guna Division,Lukwasa B.O,473885,BO,Delivery,SHIVPURI,MADHYA PRADESH,25.1,77.59
Madhya Pradesh Circle,DivReportingCircle,Guna Division,Muhari Kala B.O,473585,BO,Delivery,SHIVPURI,MADHYA PRADESH,25.05,78.25
Madhya Pradesh Circle,DivReportingCircle,Guna Division,Khatka B.O,473793,BO,Delivery,SHIVPURI,MADHYA PRADESH,25.71,77.58
Madhya Pradesh Circle,DivReportingCircle,Guna Division,Chhitipur B.O,473665,BO,Delivery,SHIVPURI,MADHYA PRADESH,25.36,78.25
Madhya Pradesh Circle,DivReportingCircle,Guna Division,Rajgarh B.O,473774,BO,Delivery,SHIVPURI,MADHYA PRADESH,25.21,77.6
Uttar Pradesh Circle,Agra Region,Agra Division,Daoli BO,283105,BO,Delivery,AGRA,UTTAR PRADESH,27.1301571,77.8424456
Maharashtra Circle,Nagpur Region,Yeotmal Division,Kolambi B.O,445109,BO,Delivery,YAVATMAL,MAHARASHTRA,20.1666388,78.1498055
Maharashtra Circle,Nagpur Region,Yeotmal Division,Chikhli Izara B.O,445103,BO,Delivery,YAVATMAL,MAHARASHTRA,20.0628611,77.95125
Maharashtra Circle,Nagpur Region,Yeotmal Division,Dabha (Pahur) B.O,445101,BO,Delivery,YAVATMAL,MAHARASHTRA,20.6456388,78.14725
Maharashtra Circle,Pune Region,Satara Division,Katgun B.O,415502,BO,Delivery,SATARA,MAHARASHTRA,17.6544363,74.3675386
Maharashtra Circle,Pune Region,Satara Division,Borgaon B.O,415511,BO,Delivery,SATARA,MAHARASHTRA,17.698335,74.1650921
Maharashtra Circle,Pune Region,Satara Division,Hol B.O,415522,BO,Delivery,SATARA,MAHARASHTRA,17.67985,73.9744
Maharashtra Circle,Pune Region,Satara Division,Khed(Wadhe) B.O,415003,BO,Delivery,SATARA,MAHARASHTRA,17.715445,74.026895
Maharashtra Circle,Pune Region,Satara Division,Bhatmarali B.O,415002,BO,Delivery,SATARA,MAHARASHTRA,17.6767,74.00425
Maharashtra Circle,Pune Region,Satara Division,Dhumalwadi B.O,415010,BO,Delivery,SATARA,MAHARASHTRA,17.693449,74.149921
Maharashtra Circle,Pune Region,Satara Division,Koriwale B.O,415209,BO,Delivery,SATARA,MAHARASHTRA,17.281428,74.00058
Maharashtra Circle,Pune Region,Satara Division,Dervan B.O,415520,BO,Delivery,SATARA,MAHARASHTRA,17.392732,73.993886
Uttar Pradesh Circle,Lucknow  HQ Region,Faizabad Division,Chirra Mohammad Pur BO,224001,BO,Delivery,AYODHYA,UTTAR PRADESH,26.773248,82.144164
Uttar Pradesh Circle,Lucknow  HQ Region,Faizabad Division,Hardoiya BO,224225,BO,Delivery,AYODHYA,UTTAR PRADESH,26.601087,81.927416
Uttar Pradesh Circle,Lucknow  HQ Region,Faizabad Division,Dharauli BO,224121,BO,Delivery,AYODHYA,UTTAR PRADESH,26.635522,81.830633
Karnataka Circle,South Karnataka Region,Mangaluru Division,Kinya B.O,575023,BO,Delivery,DAKSHINA KANNADA,KARNATAKA,12.7833378,74.8879724
Karnataka Circle,South Karnataka Region,Mangaluru Division,Moodushedde B.O,575028,BO,Delivery,DAKSHINA KANNADA,KARNATAKA,12.9276943,74.8921567
Uttar Pradesh Circle,Agra Region,Agra Division,Khandri BO,282002,BO,Non Delivery,AGRA,UTTAR PRADESH,27.2077427,77.9848617
Uttar Pradesh Circle,Agra Region,Agra Division,Arhera BO,283110,BO,Delivery,AGRA,UTTAR PRADESH,27.0739806,77.7466386
Odisha Circle,DivReportingCircle,Bhadrak Division,Keshpur B.O,756128,BO,Delivery,BHADRAK,ODISHA,21.0079083,86.5619066
Odisha Circle,DivReportingCircle,Bhadrak Division,Kalyani B.O,756118,BO,Delivery,BHADRAK,ODISHA,20.9409416,86.489295
Odisha Circle,DivReportingCircle,Puri Division,Baulasahi B.O,752092,BO,Delivery,NAYAGARH,ODISHA,20.0379949,85.161561
Odisha Circle,DivReportingCircle,Puri Division,Badabaramul B.O,752025,BO,Delivery,NAYAGARH,ODISHA,20.0342933,85.3640066
Odisha Circle,DivReportingCircle,Puri Division,Baunsiapada B.O,752068,BO,Delivery,NAYAGARH,ODISHA,20.1624518,85.1889866
Odisha Circle,DivReportingCircle,Puri Division,Bodas B.O,752077,BO,Delivery,NAYAGARH,ODISHA,20.26757,85.1746366
Odisha Circle,DivReportingCircle,Puri Division,Komand B.O,752090,BO,Delivery,NAYAGARH,ODISHA,20.0183481,84.9190755
Odisha Circle,Sambalpur Region,Balangir Division,Bichhubahali B.O,767039,BO,Delivery,BALANGIR,ODISHA,20.4978202,82.9507319
Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,Kolamb B.O,416626,BO,Delivery,SINDHUDURG,MAHARASHTRA,16.07,73.47
Odisha Circle,DivReportingCircle,Puri Division,Madhapur B.O,752078,BO,Delivery,NAYAGARH,ODISHA,20.1271944,85.1091111
Maharashtra Circle,Navi Mumbai Region,Malegaon Division,Jalgaon Galane B.O,423202,BO,Delivery,NASHIK,MAHARASHTRA,20.54984,74.45877
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Katali Sagave B.O,416709,BO,Delivery,RATNAGIRI,MAHARASHTRA,15.7583,74.15615
Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,Adavali B.O,415802,BO,Delivery,RATNAGIRI,MAHARASHTRA,16.861951,73.5490039
Odisha Circle,DivReportingCircle,Puri Division,Gobindapurpanta B.O,752093,BO,Delivery,NAYAGARH,ODISHA,20.4006,84.9211
Maharashtra Circle,Pune Region,Satara Division,Bijawadi B.O,415508,BO,Delivery,SATARA,MAHARASHTRA,17.824379,74.547139
Maharashtra Circle,Pune Region,Satara Division,Marali B.O,415211,BO,Delivery,SATARA,MAHARASHTRA,17.321245,73.955305
Maharashtra Circle,Pune Region,Satara Division,Dhamni B.O,415112,BO,Delivery,SATARA,MAHARASHTRA,17.189532,73.978779
Maharashtra Circle,Pune Region,Satara Division,Virali B.O,415540,BO,Delivery,SATARA,MAHARASHTRA,17.499962,74.704443
Maharashtra Circle,Pune Region,Satara Division,Pimpari (K.Khatav) B.O,415507,BO,Delivery,SATARA,MAHARASHTRA,17.509943,74.507797
Maharashtra Circle,Pune Region,Satara Division,Kasur B.O,415103,BO,Delivery,SATARA,MAHARASHTRA,17.245487,74.051993
Madhya Pradesh Circle,Indore Region,Sehore Division,Aandalheda B.O,465669,BO,Delivery,RAJGARH,MADHYA PRADESH,23.777664,77.070837
Karnataka Circle,South Karnataka Region,Mangaluru Division,Chelairu B.O,574146,BO,Delivery,DAKSHINA KANNADA,KARNATAKA,13.0225157,74.8079246
Karnataka Circle,South Karnataka Region,Mangaluru Division,Panjinadka B.O,574154,BO,Delivery,DAKSHINA KANNADA,KARNATAKA,13.0964481,74.8175054
Karnataka Circle,South Karnataka Region,Mangaluru Division,Madhya B.O,575030,BO,Delivery,DAKSHINA KANNADA,KARNATAKA,13.0195224,74.8203164
Karnataka Circle,South Karnataka Region,Mangaluru Division,Punaroor B.O,574150,BO,Delivery,DAKSHINA KANNADA,KARNATAKA,13.0656886,74.8236745
Karnataka Circle,South Karnataka Region,Mangaluru Division,Krishnapura B.O,575014,BO,Non Delivery,DAKSHINA KANNADA,KARNATAKA,12.9953932,74.8087614
Uttar Pradesh Circle,Lucknow  HQ Region,Faizabad Division,Narain Ashram BO,224123,BO,Non Delivery,AYODHYA,UTTAR PRADESH,26.787963,82.198552
Uttar Pradesh Circle,Lucknow  HQ Region,Faizabad Division,Kareru BO,224126,BO,Delivery,AYODHYA,UTTAR PRADESH,26.769821,81.920864
Uttar Pradesh Circle,Lucknow  HQ Region,Faizabad Division,Gauhanna Qanoongo BO,224127,BO,Delivery,AYODHYA,UTTAR PRADESH,26.680748,82.026844
